customer_id,dim_segment_id,dim_city_id,dim_state_id,dim_region_id
CG-12520,SG01,C01,S01,R01
DV-13045,SG02,C02,S02,R02
SO-20335,SG01,C03,S03,R01
BH-11710,SG01,C02,S02,R02
AA-10480,SG01,C04,S04,R01
IM-15070,SG01,C05,S05,R02
HP-14815,SG03,C06,S06,R03
PK-19075,SG01,C07,S07,R03
AG-10270,SG01,C08,S08,R02
ZD-21925,SG01,C09,S02,R02
KB-16585,SG02,C10,S09,R03
SF-20065,SG01,C11,S10,R04
EB-13870,SG01,C12,S08,R02
EH-13945,SG01,C02,S02,R02
TB-21520,SG01,C11,S10,R04
MA-17560,SG03,C13,S06,R03
GH-14485,SG02,C14,S06,R03
SN-20710,SG03,C13,S06,R03
LC-16930,SG02,C15,S11,R03
RA-19885,SG02,C02,S02,R02
ES-14080,SG02,C16,S03,R01
ON-18715,SG02,C17,S12,R03
PO-18865,SG01,C18,S13,R03
LH-16900,SG01,C19,S14,R04
DP-13000,SG01,C20,S15,R03
JM-15265,SG02,C21,S16,R04
TB-21055,SG01,C22,S16,R04
KM-16720,SG01,C02,S02,R02
PS-18970,SG03,C23,S11,R03
BS-11590,SG02,C24,S17,R02
KD-16270,SG01,C25,S18,R01
HM-14980,SG01,C21,S16,R04
TB-21520,SG01,C26,S13,R03
JE-15745,SG01,C27,S19,R01
KB-16600,SG02,C13,S06,R03
JE-15745,SG01,C13,S06,R03
SC-20770,SG02,C28,S20,R01
DN-13690,SG01,C09,S02,R02
JC-16105,SG02,C29,S04,R01
CS-12400,SG03,C23,S11,R03
PO-18865,SG01,C30,S21,R01
PG-18895,SG01,C31,S12,R03
GM-14455,SG03,C13,S06,R03
JS-15685,SG02,C02,S02,R02
KB-16315,SG01,C32,S12,R03
RB-19705,SG03,C33,S22,R02
PN-18775,SG03,C21,S16,R04
KD-16345,SG01,C09,S02,R02
ER-13855,SG02,C34,S12,R03
RB-19465,SG03,C23,S11,R03
GZ-14470,SG01,C31,S12,R03
LC-16870,SG01,C35,S23,R02
JM-15250,SG01,C36,S04,R01
PA-19060,SG03,C37,S11,R03
CV-12805,SG02,C21,S16,R04
CL-12565,SG01,C38,S24,R03
RC-19960,SG01,C39,S25,R04
DK-13090,SG01,C05,S05,R02
GG-14650,SG02,C40,S19,R01
SC-20725,SG01,C41,S14,R04
AD-10180,SG03,C13,S06,R03
PF-19165,SG01,C42,S11,R03
TS-21610,SG01,C43,S17,R02
LS-16975,SG03,C02,S02,R02
DW-13585,SG02,C39,S25,R04
LC-16885,SG01,C44,S02,R02
JD-15895,SG02,C11,S10,R04
SH-19975,SG02,C09,S02,R02
SG-20080,SG01,C45,S26,R03
HA-14920,SG01,C46,S02,R02
MG-17680,SG03,C47,S25,R04
JE-16165,SG02,C48,S07,R03
TW-21025,SG03,C49,S17,R02
SP-20650,SG02,C50,S02,R02
NK-18490,SG03,C05,S05,R02
DB-13060,SG01,C05,S05,R02
NP-18670,SG01,C51,S27,R03
TT-21070,SG01,C02,S02,R02
EM-13960,SG01,C11,S10,R04
RD-19900,SG01,C52,S28,R02
MJ-17740,SG01,C05,S05,R02
BM-11140,SG01,C53,S06,R03
CS-12130,SG01,C02,S02,R02
JB-15400,SG02,C23,S11,R03
SJ-20500,SG01,C13,S06,R03
JE-15745,SG01,C47,S25,R04
JK-15640,SG03,C21,S16,R04
DK-13150,SG02,C28,S11,R03
RM-19675,SG03,C54,S29,R01
SK-19990,SG01,C55,S30,R04
FM-14290,SG03,C02,S02,R02
AM-10360,SG02,C56,S06,R03
MP-17470,SG03,C21,S16,R04
MZ-17515,SG02,C57,S02,R02
CB-12025,SG01,C58,S25,R04
VM-21685,SG03,C59,S31,R04
FH-14365,SG02,C11,S10,R04
MB-17305,SG01,C60,S25,R04
BS-11755,SG01,C61,S23,R02
LC-17140,SG01,C62,S06,R03
HK-14890,SG02,C48,S19,R01
LE-16810,SG01,C63,S02,R02
JH-15985,SG01,C64,S13,R03
MS-17980,SG02,C62,S06,R03
VW-21775,SG02,C65,S25,R04
JH-15910,SG01,C02,S02,R02
JB-15925,SG01,C66,S25,R04
DS-13180,SG02,C67,S13,R03
VD-21670,SG01,C30,S19,R01
EA-14035,SG02,C36,S04,R01
CS-12400,SG03,C68,S03,R01
DB-13120,SG02,C69,S02,R02
KL-16645,SG01,C23,S11,R03
DW-13480,SG03,C70,S12,R03
LH-17155,SG01,C09,S02,R02
KC-16540,SG01,C71,S02,R02
DL-13315,SG01,C21,S16,R04
DR-12880,SG02,C23,S11,R03
CC-12670,SG01,C21,S16,R04
Dl-13600,SG02,C46,S06,R03
