dim_order_id,dim_order_date_id,dim_ship_date_id,dim_ship_mode_id,dim_customer_id,dim_product_id
CA-2016-152156,20161108,20161111,SC01,CG-12520,FUR-BO-10001798
CA-2016-152156,20161108,20161111,SC01,CG-12520,FUR-CH-10000454
CA-2016-138688,20160612,20160616,SC01,DV-13045,OFF-LA-10000240
US-2015-108966,20151011,20151018,SC02,SO-20335,FUR-TA-10000577
US-2015-108966,20151011,20151018,SC02,SO-20335,OFF-ST-10000760
CA-2014-115812,20140609,20140614,SC02,BH-11710,FUR-FU-10001487
CA-2014-115812,20140609,20140614,SC02,BH-11710,OFF-AR-10002833
CA-2014-115812,20140609,20140614,SC02,BH-11710,TEC-PH-10002275
CA-2014-115812,20140609,20140614,SC02,BH-11710,OFF-BI-10003910
CA-2014-115812,20140609,20140614,SC02,BH-11710,OFF-AP-10002892
CA-2014-115812,20140609,20140614,SC02,BH-11710,FUR-TA-10001539
CA-2014-115812,20140609,20140614,SC02,BH-11710,TEC-PH-10002033
CA-2017-114412,20170415,20170420,SC02,AA-10480,OFF-PA-10002365
CA-2016-161389,20161205,20161210,SC02,IM-15070,OFF-BI-10003656
US-2015-118983,20151122,20151126,SC02,HP-14815,OFF-AP-10002311
US-2015-118983,20151122,20151126,SC02,HP-14815,OFF-BI-10000756
CA-2014-105893,20141111,20141118,SC02,PK-19075,OFF-ST-10004186
CA-2014-167164,20140513,20140515,SC01,AG-10270,OFF-ST-10000107
CA-2014-143336,20140827,20140901,SC01,ZD-21925,OFF-AR-10003056
CA-2014-143336,20140827,20140901,SC01,ZD-21925,TEC-PH-10001949
CA-2014-143336,20140827,20140901,SC01,ZD-21925,OFF-BI-10002215
CA-2016-137330,20161209,20161213,SC02,KB-16585,OFF-AR-10000246
CA-2016-137330,20161209,20161213,SC02,KB-16585,OFF-AP-10001492
US-2017-156909,20170716,20170718,SC01,SF-20065,FUR-CH-10002774
CA-2015-106320,20150925,20150930,SC02,EB-13870,FUR-TA-10000577
CA-2016-121755,20160116,20160120,SC01,EH-13945,OFF-BI-10001634
CA-2016-121755,20160116,20160120,SC01,EH-13945,TEC-AC-10003027
US-2015-150630,20150917,20150921,SC02,TB-21520,FUR-BO-10004834
US-2015-150630,20150917,20150921,SC02,TB-21520,OFF-BI-10000474
US-2015-150630,20150917,20150921,SC02,TB-21520,FUR-FU-10004848
US-2015-150630,20150917,20150921,SC02,TB-21520,OFF-EN-10001509
US-2015-150630,20150917,20150921,SC02,TB-21520,OFF-AR-10004042
US-2015-150630,20150917,20150921,SC02,TB-21520,OFF-BI-10001525
US-2015-150630,20150917,20150921,SC02,TB-21520,OFF-AR-10001683
CA-2017-107727,20171019,20171023,SC01,MA-17560,OFF-PA-10000249
CA-2016-117590,20161208,20161210,FC01,GH-14485,TEC-PH-10004977
CA-2016-117590,20161208,20161210,FC01,GH-14485,FUR-FU-10003664
CA-2015-117415,20151227,20151231,SC02,SN-20710,OFF-EN-10002986
CA-2015-117415,20151227,20151231,SC02,SN-20710,FUR-BO-10002545
CA-2015-117415,20151227,20151231,SC02,SN-20710,FUR-CH-10004218
CA-2015-117415,20151227,20151231,SC02,SN-20710,TEC-PH-10000486
CA-2017-120999,20170910,20170915,SC02,LC-16930,TEC-PH-10004093
CA-2016-101343,20160717,20160722,SC02,RA-19885,OFF-ST-10003479
CA-2017-139619,20170919,20170923,SC02,ES-14080,OFF-ST-10003282
CA-2016-118255,20160311,20160313,FC01,ON-18715,TEC-AC-10000171
CA-2016-118255,20160311,20160313,FC01,ON-18715,OFF-BI-10003291
CA-2014-146703,20141020,20141025,SC01,PO-18865,OFF-ST-10001713
CA-2016-169194,20160620,20160625,SC02,LH-16900,TEC-AC-10002167
CA-2016-169194,20160620,20160625,SC02,LH-16900,TEC-PH-10003988
CA-2015-115742,20150418,20150422,SC02,DP-13000,OFF-BI-10004410
CA-2015-115742,20150418,20150422,SC02,DP-13000,OFF-LA-10002762
CA-2015-115742,20150418,20150422,SC02,DP-13000,FUR-FU-10001706
CA-2015-115742,20150418,20150422,SC02,DP-13000,FUR-CH-10003061
CA-2016-105816,20161211,20161217,SC02,JM-15265,OFF-FA-10000304
CA-2016-105816,20161211,20161217,SC02,JM-15265,TEC-PH-10002447
CA-2016-111682,20160617,20160618,FC01,TB-21055,OFF-ST-10000604
CA-2016-111682,20160617,20160618,FC01,TB-21055,OFF-PA-10001569
CA-2016-111682,20160617,20160618,FC01,TB-21055,FUR-CH-10003968
CA-2016-111682,20160617,20160618,FC01,TB-21055,OFF-PA-10000587
CA-2016-111682,20160617,20160618,FC01,TB-21055,TEC-AC-10002167
CA-2016-111682,20160617,20160618,FC01,TB-21055,OFF-BI-10001460
CA-2016-111682,20160617,20160618,FC01,TB-21055,OFF-AR-10001868
CA-2015-135545,20151124,20151130,SC02,KM-16720,TEC-AC-10004633
CA-2015-135545,20151124,20151130,SC02,KM-16720,OFF-BI-10001078
CA-2015-135545,20151124,20151130,SC02,KM-16720,OFF-PA-10003892
CA-2015-135545,20151124,20151130,SC02,KM-16720,FUR-FU-10000397
US-2015-164175,20150430,20150505,SC02,PS-18970,FUR-CH-10001146
CA-2014-106376,20141205,20141210,SC02,BS-11590,OFF-AR-10002671
CA-2014-106376,20141205,20141210,SC02,BS-11590,TEC-PH-10002726
CA-2016-119823,20160604,20160606,FC01,KD-16270,OFF-PA-10000482
CA-2016-106075,20160918,20160923,SC02,HM-14980,OFF-BI-10004654
CA-2017-114440,20170914,20170917,SC01,TB-21520,OFF-PA-10004675
US-2015-134026,20150426,20150502,SC02,JE-15745,FUR-CH-10000513
US-2015-134026,20150426,20150502,SC02,JE-15745,FUR-FU-10003708
US-2015-134026,20150426,20150502,SC02,JE-15745,OFF-ST-10004123
US-2017-118038,20171209,20171211,FC01,KB-16600,OFF-BI-10004182
US-2017-118038,20171209,20171211,FC01,KB-16600,FUR-FU-10000260
US-2017-118038,20171209,20171211,FC01,KB-16600,OFF-ST-10000615
US-2014-147606,20141126,20141201,SC01,JE-15745,FUR-FU-10003194
CA-2016-127208,20160612,20160615,FC01,SC-20770,OFF-AP-10002118
CA-2016-127208,20160612,20160615,FC01,SC-20770,OFF-BI-10002309
CA-2014-139451,20141012,20141016,SC02,DN-13690,OFF-AR-10002053
CA-2014-139451,20141012,20141016,SC02,DN-13690,OFF-ST-10002370
CA-2015-149734,20150903,20150908,SC02,JC-16105,OFF-EN-10000927
US-2017-119662,20171113,20171116,FC01,CS-12400,OFF-ST-10003656
CA-2017-140088,20170528,20170530,SC01,PO-18865,FUR-CH-10000863
CA-2017-155558,20171026,20171102,SC02,PG-18895,TEC-AC-10001998
CA-2017-155558,20171026,20171102,SC02,PG-18895,OFF-LA-10000134
CA-2016-159695,20160405,20160410,SC01,GM-14455,OFF-ST-10003442
CA-2016-109806,20160917,20160922,SC02,JS-15685,OFF-AR-10004930
CA-2016-109806,20160917,20160922,SC02,JS-15685,TEC-PH-10004093
