order_id,sales,quantity,discount,profit
CA-2014-100006,377.97,3,0,109.6113
CA-2014-100090,699.192,9,0.4,-19.089
CA-2014-100293,91.056,6,0.2,31.8696
CA-2014-100328,3.928,1,0.2,1.3257
CA-2014-100363,21.376,5,0.4,7.7192
CA-2014-100391,14.62,2,0,6.7252
CA-2014-100678,697.074,11,0.9,61.7937
CA-2014-100706,129.44,8,0,17.7202
CA-2014-100762,508.62,11,0,219.0774
CA-2014-100860,18.75,5,0,9
CA-2014-100867,321.552,6,0.2,20.097
CA-2014-100881,302.376,3,0.2,22.6782
CA-2014-100895,605.47,7,0,176.9272
CA-2014-100916,788.86,10,0,122.9662
CA-2014-100972,166.44,3,0,79.8912
CA-2014-101147,2.394,1,0.8,-6.3441
CA-2014-101175,100.704,6,0.2,-1.2588
CA-2014-101266,13.36,2,0,6.4128
CA-2014-101364,296.712,13,0.2,100.1403
CA-2014-101392,269.36,7,0,70.0336
CA-2014-101427,8.016,3,0.2,1.1022
CA-2014-101462,59.92,4,0,27.5632
CA-2014-101476,69.99,1,0,30.0957
CA-2014-101560,542.34,19,0,110.8402
CA-2014-101602,803.96,8,0.5,-30.961
CA-2014-101770,1.869,1,0.7,-1.3083
CA-2014-101833,34.44,3,0,17.22
CA-2014-101931,1252.602,17,0.35,18.614
CA-2014-102008,48.94,1,0,24.47
CA-2014-102085,29.24,4,0,13.7428
CA-2014-102274,865.5,13,0,323.127
CA-2014-102295,120.712,1,0.2,-18.1068
CA-2014-102330,408.768,10,0.2,80.3964
CA-2014-102645,40.08,6,0,19.2384
CA-2014-102652,199.99,13,0,64.5077
CA-2014-102673,1044.44,29,0.8,127.9659
CA-2014-102869,233.244,13,1,-26.0068
CA-2014-102988,4251.92,22,0,112.2737
CA-2014-103058,99.98,2,0,7.9984
CA-2014-103086,5.312,2,0.6,-1.5936
CA-2014-103100,1107.66,4,0,498.5208
CA-2014-103191,331.536,3,0.2,-82.884
CA-2014-103219,56.52,9,0,21.4776
CA-2014-103310,1769.784,14,0.4,187.6596
CA-2014-103317,242.546,10,1.1,14.4922
CA-2014-103331,31.4,8,0,14.1098
CA-2014-103366,149.95,5,0,65.978
CA-2014-103373,779.796,2,0.4,-168.9558
CA-2014-103401,12.96,2,0,6.2208
CA-2014-103429,765.494,14,0.2,239.3599
CA-2014-103492,1488.774,19,2,117.4008
CA-2014-103527,10.896,3,0.2,3.405
CA-2014-103590,62.28,4,0,29.2716
CA-2014-103660,1007.944,7,0.2,75.5958
CA-2014-103702,63.924,7,0.7,-46.8776
CA-2014-103744,11.364,6,1,-4.5225
CA-2014-103800,16.448,2,0.2,5.5512
CA-2014-103807,21.19,4,0,7.9958
CA-2014-103849,225.016,7,1,-70.7293
CA-2014-103940,260.79,12,0.2,77.1793
CA-2014-103989,590.762,23,1.9,68.6353
CA-2014-104178,176.14,14,0,58.698
CA-2014-104269,457.568,2,0.2,51.4764
CA-2014-104283,616.14,10,0,76.1052
CA-2014-104402,65.97,3,0,31.0059
CA-2014-104472,133.128,9,0.2,41.4336
CA-2014-104563,707.118,12,0.2,63.6754
CA-2014-104738,609.614,13,1.6,63.2508
CA-2014-104773,60.416,2,0.2,6.0416
CA-2014-104780,31.84,8,0,10.5072
CA-2014-104808,17.248,2,0.2,6.0368
CA-2014-104829,21.98,7,0,9.891
CA-2014-104976,34.68,6,0,16.9932
CA-2014-105165,469.043,13,1.7,-12.3729
CA-2014-105172,18.9,6,0,9.072
CA-2014-105249,460.092,10,0.15,15.18
CA-2014-105270,143.128,4,0.2,19.1896
CA-2014-105340,6.928,1,0.8,-11.0848
CA-2014-105417,87.158,10,1.4,-71.9621
CA-2014-105648,626.352,3,0.2,-23.4882
CA-2014-105872,70.368,4,0.2,26.388
CA-2014-105893,665.88,6,0,13.3176
CA-2014-105984,1661.028,8,0.7,-244.9116
CA-2014-106054,12.78,3,0,5.2398
CA-2014-106229,268.935,3,0.5,-209.7693
CA-2014-106264,15.39,5,0,1.2327
CA-2014-106376,1280.992,12,0.4,174.2904
CA-2014-106439,1007.936,45,0.6,122.5435
CA-2014-106572,264.32,2,0.2,19.824
CA-2014-106719,8.288,2,0.2,2.6936
CA-2014-106726,1261.33,7,0,327.9458
CA-2014-106803,144.36,6,0,54.7968
CA-2014-106810,310.88,2,0.2,23.316
CA-2014-106971,475.944,7,0.2,95.1888
CA-2014-107139,180.96,6,0.2,67.86
CA-2014-107153,46.26,3,0,12.4902
CA-2014-107181,117.136,7,0.2,45.1064
CA-2014-107398,30.246,15,2.1,-23.544
CA-2014-107454,124.2,13,0,40.1574
CA-2014-107524,47.76,7,0,22.8112
CA-2014-107573,23.472,3,0.2,7.6284
CA-2014-107594,79.56,3,0,22.1508
CA-2014-107706,16.176,3,0.2,6.066
CA-2014-107755,115.36,7,0,49.6048
CA-2014-107769,257.98,2,0,74.8142
CA-2014-107811,661.504,7,0.4,68.949
CA-2014-107818,1771.52,21,0.2,235.2232
CA-2014-107916,25.952,5,0.2,10.8096
CA-2014-108147,1745.36,8,0.2,109.524
CA-2014-108182,8.952,2,0.8,-14.7708
CA-2014-108189,598.144,18,1.4,133.7632
CA-2014-108273,92.856,9,0.8,-62.2518
CA-2014-108609,1421.664,8,0.4,-734.5264
CA-2014-108707,10.368,2,0.2,3.6288
CA-2014-108861,136.96,4,0.2,51.36
CA-2014-108903,212.952,10,0.6,5.5236
CA-2014-109043,152.24,5,0.2,17.127
CA-2014-109127,17.28,6,0,7.9488
CA-2014-109134,20.04,6,0,8.8176
CA-2014-109218,32.4,5,0,10.368
CA-2014-109232,545.94,6,0,87.3504
CA-2014-109302,196.21,7,0,98.105
CA-2014-109491,82.63,7,0,29.3404
CA-2014-109680,386.34,2,0,54.0876
CA-2014-109855,380.744,5,0.2,65.4304
CA-2014-109890,35.98,2,0,10.0744
CA-2014-109897,891.776,11,0.2,82.0088
CA-2014-109904,17.94,3,0,4.485
CA-2014-109918,104.48,7,0.2,41.1332
CA-2014-109932,247.784,5,0.4,24.4867
CA-2014-110030,23.976,3,0.6,-14.3856
CA-2014-110065,151.95,8,0,43.7397
CA-2014-110072,93.888,4,0.2,12.9096
CA-2014-110100,302.376,3,0.2,37.797
CA-2014-110184,505.686,17,0.2,73.7478
CA-2014-110219,127.869,3,0.3,-9.1335
CA-2014-110352,23.68,2,0.2,8.88
CA-2014-110408,2216.8,14,0,444.6902
CA-2014-110422,25.248,3,0.2,4.1028
CA-2014-110527,20.88,8,0,9.6048
CA-2014-110555,410.104,15,0.2,124.9458
CA-2014-110611,83.92,5,0.2,-13.637
CA-2014-110639,71.84,8,0,34.9424
CA-2014-110786,1365.63,36,0.6,479.9496
CA-2014-110849,323.458,15,0.2,108.1437
CA-2014-111003,334.68,9,0,104.7888
CA-2014-111059,97.112,5,0.4,31.5614
CA-2014-111150,77.21,14,0,27.7354
CA-2014-111157,154.624,4,0.4,33.2
CA-2014-111192,1367.84,8,0,259.8896
CA-2014-111360,5.742,3,0.7,-4.5936
CA-2014-111451,855.272,22,1.5,20.8692
CA-2014-111500,484.79,20,0,187.7404
CA-2014-111773,13.92,3,0.2,4.872
CA-2014-111857,48.91,1,0,22.9877
CA-2014-111871,1198.33,10,0.15,70.49
CA-2014-111899,43.312,8,0.4,4.6848
CA-2014-111934,47.32,3,0,22.0028
CA-2014-111962,817.798,7,0.2,156.6125
CA-2014-112158,1050.6,17,0.4,-41.9396
CA-2014-112291,233.45,7,0,85.6044
CA-2014-112326,288.06,8,1.2,-65.9901
CA-2014-112403,0.852,1,0.7,-0.5964
CA-2014-112718,1.167,1,0.7,-0.8558
CA-2014-112837,127.95,3,0,21.7515
CA-2014-112851,182.94,3,0,85.9818
CA-2014-113047,11.85,3,0,3.792
CA-2014-113166,9.568,2,0.2,3.4684
CA-2014-113257,328.592,11,0.8,93.4032
CA-2014-113271,172.097,14,0.35,29.4738
CA-2014-113320,30.72,9,0,9.5754
CA-2014-113362,460.22,8,0,14.0752
CA-2014-113383,336.82,9,0,98.5884
CA-2014-113579,90.24,6,0,41.5104
CA-2014-113768,287.456,8,0.2,24.7992
CA-2014-113859,340.116,6,0.3,-9.7176
CA-2014-113880,651.588,9,0.5,-166.4388
CA-2014-113887,55.48,1,0,26.6304
CA-2014-113929,115.952,12,0.2,44.2956
CA-2014-113964,18.464,4,0.2,6.924
CA-2014-114125,68.704,11,0.2,19.6202
CA-2014-114181,372.285,12,0.7,-211.6773
CA-2014-114195,94.264,7,1.6,-4.2352
CA-2014-114251,1476.834,17,1.5,-127.1508
CA-2014-114314,16.23,5,0,7.3605
CA-2014-114321,1417.35,16,0,575.9101
CA-2014-114335,337.088,4,0.2,16.8544
CA-2014-114433,149.97,3,0,52.4895
CA-2014-114510,280.276,21,0.4,46.9632
CA-2014-114517,109.836,5,0.4,-3.7236
CA-2014-114643,14.52,3,0,4.7916
CA-2014-114790,782.63,11,0,223.9838
CA-2014-115049,153.824,11,0.2,38.456
CA-2014-115056,26.136,3,0.2,1.9602
CA-2014-115084,605.34,6,0,145.2816
CA-2014-115133,49.6,10,0.4,12.3552
CA-2014-115161,290.666,2,0.15,3.4196
CA-2014-115259,199.256,25,0.8,67.7109
CA-2014-115336,14.48,5,0.8,-23.892
CA-2014-115357,62.91,3,0,22.6476
CA-2014-115791,299.964,14,1.5,-5.9335
CA-2014-115812,3714.304,38,0.8,300.7687
CA-2014-115889,409.304,4,0.2,110.465
CA-2014-115973,2.624,1,0.2,0.4264
CA-2014-115980,9.51,6,0,3.9882
CA-2014-116190,256.48,18,0,104.1415
CA-2014-116239,354.9,5,0,17.745
CA-2014-116246,3785.292,6,0.1,420.588
CA-2014-116407,362.176,9,0.6,37.3976
CA-2014-116568,186.304,4,0.2,13.9728
CA-2014-116666,1799.97,5,0.4,239.996
CA-2014-116673,6.16,2,0,1.9712
CA-2014-116757,47.232,11,0.4,16.2648
CA-2014-116785,34,7,0,12.002
CA-2014-116834,408.47,16,0,77.691
CA-2014-116904,9900.19,17,0,4668.6935
CA-2014-116932,1173.616,8,0.4,103.1748
CA-2014-117016,15.552,3,0.2,2.3328
CA-2014-117317,13.44,3,0,6.5856
CA-2014-117345,202.896,10,0.8,57.6448
CA-2014-117429,129.92,5,0.2,21.112
CA-2014-117464,1136.092,20,0.4,162.7472
CA-2014-117478,6.57,3,0.7,-5.037
CA-2014-117639,3333.9,10,0,1449.5187
CA-2014-117709,46.8,4,0,21.06
CA-2014-117765,643.78,11,0,178.271
CA-2014-118192,40.846,9,0.9,10.5716
CA-2014-118276,8.736,3,0.6,-4.8048
CA-2014-118304,19.98,2,0,5.1948
CA-2014-118339,249.92,31,0,108.1918
CA-2014-118962,472.044,12,0.2,84.3616
CA-2014-118976,526.96,14,0,141.7728
CA-2014-119032,3.76,2,0,1.316
CA-2014-119144,730.8525,10,0.35,17.5524
CA-2014-119151,1393.872,7,0.2,17.9526
CA-2014-119172,122.052,12,1,-166.8786
CA-2014-119375,3116.49,15,0,833.7633
CA-2014-119466,8.544,2,0.6,-7.476
CA-2014-119529,5.76,2,0,2.8224
CA-2014-119977,123.92,4,0,55.764
CA-2014-120096,209.968,6,0.4,65.3808
CA-2014-120243,11.56,4,0,5.4332
CA-2014-120278,317.48,14,0,90.4306
CA-2014-120411,504.55,7,0.5,-67.015
CA-2014-120432,25.5,3,0,6.63
CA-2014-120474,2854.48,12,0,686.4744
CA-2014-120544,46.088,12,1.6,-88.0328
CA-2014-120670,799.92,10,0.2,239.976
CA-2014-120768,1979.89,21,0,240.6027
CA-2014-120775,42.836,11,1.8,-19.5116
CA-2014-120838,935.152,8,0.2,123.701
CA-2014-120852,84.872,7,1,-57.7316
CA-2014-120887,87.54,3,0,37.6422
CA-2014-120950,43.68,6,0,20.9664
CA-2014-121006,1194.87,17,0,299.7966
CA-2014-121167,17.248,2,0.2,6.0368
CA-2014-121286,66.616,8,0.4,7.8182
CA-2014-121573,840.712,8,0.4,240.6926
CA-2014-121629,998.85,5,0.4,-199.77
CA-2014-121664,140.736,8,0.2,52.776
CA-2014-121727,10.72,2,0.2,1.742
CA-2014-121762,560.55,7,0,114.1104
CA-2014-121769,172.11,1,0.4,-94.6605
CA-2014-122070,257.752,11,0.2,124.7869
CA-2014-122217,111.15,5,0,48.906
CA-2014-122336,630.746,39,1.5,-388.396
CA-2014-122567,9.04,5,1.6,-15.658
CA-2014-122588,52.96,2,0,20.1248
CA-2014-122609,153.112,5,0.8,18.6866
CA-2014-122679,19.68,6,0,6.4944
CA-2014-122749,479.96,4,0,134.3888
CA-2014-122882,539.074,10,1.5,-561.1412
CA-2014-122931,2358.672,27,1.6,-413.5152
CA-2014-123064,5.248,4,0.2,1.64
CA-2014-123127,16.78,2,0,4.195
CA-2014-123225,586.336,6,0.4,46.8264
CA-2014-123253,3.912,1,0.2,1.0269
CA-2014-123260,176.8,8,0,22.984
CA-2014-123295,259.136,4,0.2,-25.9136
CA-2014-123316,7.752,3,0.2,2.8101
