origin_id,destination_id,time
SFIA,MLBR,7
MLBR,SBRN,4
SBRN,SSAN,3
SSAN,COLM,4
COLM,DALY,3
DALY,BALB,4
BALB,GLEN,3
GLEN,24TH,3
24TH,16TH,2
16TH,CIVC,2
CIVC,POWL,2
POWL,MONT,1
MONT,EMBR,1
EMBR,WOAK,7
WOAK,12TH,4
12TH,19TH,2
19TH,MCAR,4
MCAR,ASHB,3
ASHB,DBRK,2
DBRK,NBRK,3
NBRK,PLZA,3
PLZA,DELN,3
DELN,RICH,4
COLS,OAKL,8
DALY,BALB,4
BALB,GLEN,2
GLEN,24TH,3
24TH,16TH,2
16TH,CIVC,2
CIVC,POWL,2
POWL,MONT,2
MONT,EMBR,1
EMBR,WOAK,7
WOAK,LAKE,6
LAKE,FTVL,4
FTVL,COLS,3
COLS,SANL,4
SANL,BAYF,5
BAYF,HAYW,4
HAYW,SHAY,4
SHAY,UCTY,5
UCTY,FRMT,4
FRMT,WARM,7
WARM,MLPT,8
MLPT,BERY,5
RICH,DELN,5
DELN,PLZA,3
PLZA,NBRK,3
NBRK,DBRK,2
DBRK,ASHB,3
ASHB,MCAR,6
MCAR,19TH,3
19TH,12TH,2
12TH,LAKE,3
LAKE,FTVL,4
FTVL,COLS,4
COLS,SANL,4
SANL,BAYF,4
BAYF,HAYW,4
HAYW,SHAY,4
SHAY,UCTY,5
UCTY,FRMT,5
FRMT,WARM,6
WARM,MLPT,9
MLPT,BERY,4
DALY,BALB,3
BALB,GLEN,3
GLEN,24TH,2
24TH,16TH,2
16TH,CIVC,3
CIVC,POWL,1
POWL,MONT,2
MONT,EMBR,2
EMBR,WOAK,7
WOAK,LAKE,6
LAKE,FTVL,4
FTVL,COLS,3
COLS,SANL,4
SANL,BAYF,4
BAYF,CAST,4
CAST,WDUB,10
WDUB,DUBL,3
SFIA,SBRN,4
SBRN,SSAN,3
SSAN,COLM,4
COLM,DALY,3
DALY,BALB,4
BALB,GLEN,2
GLEN,24TH,3
24TH,16TH,2
16TH,CIVC,2
CIVC,POWL,2
POWL,MONT,2
MONT,EMBR,1
EMBR,WOAK,7
WOAK,12TH,4
12TH,19TH,2
19TH,MCAR,4
MCAR,ROCK,2
ROCK,ORIN,7
ORIN,LAFY,5
LAFY,WCRK,5
WCRK,PHIL,2
PHIL,CONC,6
CONC,NCON,3
NCON,PITT,7
PITT,PCTR,9
PCTR,ANTC,8
