trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1370934,5:44:00,5:44:00,DUBL,0,,,,0
1370934,5:46:00,5:47:00,WDUB,1,,,,8504.67
1370934,5:56:00,5:57:00,CAST,2,,,,53076.13
1370934,6:01:00,6:01:00,BAYF,3,,,,68917.78
1370934,6:05:00,6:05:00,SANL,4,,,,82408.32
1370934,6:09:00,6:09:00,COLS,5,SF / Daly City,,,98015.87
1370934,6:12:00,6:12:00,FTVL,6,SF / Daly City,,,109147.03
1370934,6:16:00,6:17:00,LAKE,7,SF / Daly City,,,123674.98
1370934,6:22:00,6:22:00,WOAK,8,SF / Daly City,,,133258.91
1370934,6:29:00,6:29:00,EMBR,9,SF / Daly City,,,164235.91
1370934,6:31:00,6:31:00,MONT,10,SF / Daly City,,,166088.69
1370934,6:32:00,6:33:00,POWL,11,SF / Daly City,,,168438.9
1370934,6:34:00,6:34:00,CIVC,12,SF / Daly City,,,171103.23
1370934,6:36:00,6:37:00,16TH,13,SF / Daly City,,,176994.04
1370934,6:38:00,6:39:00,24TH,14,SF / Daly City,,,181652.1
1370934,6:41:00,6:41:00,GLEN,15,SF / Daly City,,,190327.04
1370934,6:43:00,6:44:00,BALB,16,SF / Daly City,,,196416.91
1370934,6:48:00,6:48:00,DALY,17,SF / Daly City,,,205895.73
1370935,6:13:00,6:13:00,DUBL,0,,,,0
1370935,6:15:00,6:16:00,WDUB,1,,,,8504.67
1370935,6:25:00,6:26:00,CAST,2,,,,53076.13
1370935,6:30:00,6:30:00,BAYF,3,,,,68917.78
1370935,6:34:00,6:34:00,SANL,4,,,,82408.32
1370935,6:38:00,6:38:00,COLS,5,SF / Daly City,,,98015.87
1370935,6:41:00,6:41:00,FTVL,6,SF / Daly City,,,109147.03
1370935,6:45:00,6:46:00,LAKE,7,SF / Daly City,,,123674.98
1370935,6:51:00,6:51:00,WOAK,8,SF / Daly City,,,133258.91
1370935,6:58:00,6:58:00,EMBR,9,SF / Daly City,,,164235.91
1370935,7:00:00,7:00:00,MONT,10,SF / Daly City,,,166088.69
