date,date_yyyymmdd,day_of_week,is_weekday,is_weekend,is_holiday,week_number,month,year
1/1/23,20230101,Sunday,0,1,1,1,January,2023
1/2/23,20230102,Monday,1,0,0,1,January,2023
1/3/23,20230103,Tuesday,1,0,0,1,January,2023
1/4/23,20230104,Wednesday,1,0,0,1,January,2023
1/5/23,20230105,Thursday,1,0,0,1,January,2023
1/6/23,20230106,Friday,1,0,0,1,January,2023
1/7/23,20230107,Saturday,0,1,0,1,January,2023
1/8/23,20230108,Sunday,0,1,0,2,January,2023
1/9/23,20230109,Monday,1,0,0,2,January,2023
1/10/23,20230110,Tuesday,1,0,0,2,January,2023
1/11/23,20230111,Wednesday,1,0,0,2,January,2023
1/12/23,20230112,Thursday,1,0,0,2,January,2023
1/13/23,20230113,Friday,1,0,0,2,January,2023
1/14/23,20230114,Saturday,0,1,0,2,January,2023
1/15/23,20230115,Sunday,0,1,0,3,January,2023
1/16/23,20230116,Monday,1,0,0,3,January,2023
1/17/23,20230117,Tuesday,1,0,0,3,January,2023
1/18/23,20230118,Wednesday,1,0,0,3,January,2023
1/19/23,20230119,Thursday,1,0,0,3,January,2023
1/20/23,20230120,Friday,1,0,0,3,January,2023
1/21/23,20230121,Saturday,0,1,0,3,January,2023
1/22/23,20230122,Sunday,0,1,0,4,January,2023
1/23/23,20230123,Monday,1,0,0,4,January,2023
1/24/23,20230124,Tuesday,1,0,0,4,January,2023
1/25/23,20230125,Wednesday,1,0,0,4,January,2023
1/26/23,20230126,Thursday,1,0,0,4,January,2023
1/27/23,20230127,Friday,1,0,0,4,January,2023
1/28/23,20230128,Saturday,0,1,0,4,January,2023
1/29/23,20230129,Sunday,0,1,0,5,January,2023
1/30/23,20230130,Monday,1,0,0,5,January,2023
1/31/23,20230131,Tuesday,1,0,0,5,January,2023
2/1/23,20230201,Wednesday,1,0,0,5,February,2023
2/2/23,20230202,Thursday,1,0,0,5,February,2023
2/3/23,20230203,Friday,1,0,0,5,February,2023
2/4/23,20230204,Saturday,0,1,0,5,February,2023
2/5/23,20230205,Sunday,0,1,0,6,February,2023
2/6/23,20230206,Monday,1,0,0,6,February,2023
2/7/23,20230207,Tuesday,1,0,0,6,February,2023
2/8/23,20230208,Wednesday,1,0,0,6,February,2023
2/9/23,20230209,Thursday,1,0,0,6,February,2023
2/10/23,20230210,Friday,1,0,0,6,February,2023
2/11/23,20230211,Saturday,0,1,0,6,February,2023
2/12/23,20230212,Sunday,0,1,0,7,February,2023
2/13/23,20230213,Monday,1,0,0,7,February,2023
2/14/23,20230214,Tuesday,1,0,0,7,February,2023
2/15/23,20230215,Wednesday,1,0,0,7,February,2023
2/16/23,20230216,Thursday,1,0,0,7,February,2023
2/17/23,20230217,Friday,1,0,0,7,February,2023
2/18/23,20230218,Saturday,0,1,0,7,February,2023
2/19/23,20230219,Sunday,0,1,0,8,February,2023
2/20/23,20230220,Monday,1,0,0,8,February,2023
2/21/23,20230221,Tuesday,1,0,0,8,February,2023
2/22/23,20230222,Wednesday,1,0,0,8,February,2023
2/23/23,20230223,Thursday,1,0,0,8,February,2023
2/24/23,20230224,Friday,1,0,0,8,February,2023
2/25/23,20230225,Saturday,0,1,0,8,February,2023
2/26/23,20230226,Sunday,0,1,0,9,February,2023
2/27/23,20230227,Monday,1,0,0,9,February,2023
2/28/23,20230228,Tuesday,1,0,0,9,February,2023
3/1/23,20230301,Wednesday,1,0,0,9,March,2023
3/2/23,20230302,Thursday,1,0,0,9,March,2023
3/3/23,20230303,Friday,1,0,0,9,March,2023
3/4/23,20230304,Saturday,0,1,0,9,March,2023
3/5/23,20230305,Sunday,0,1,0,10,March,2023
3/6/23,20230306,Monday,1,0,0,10,March,2023
3/7/23,20230307,Tuesday,1,0,0,10,March,2023
3/8/23,20230308,Wednesday,1,0,0,10,March,2023
3/9/23,20230309,Thursday,1,0,0,10,March,2023
3/10/23,20230310,Friday,1,0,0,10,March,2023
3/11/23,20230311,Saturday,0,1,0,10,March,2023
3/12/23,20230312,Sunday,0,1,0,11,March,2023
3/13/23,20230313,Monday,1,0,0,11,March,2023
3/14/23,20230314,Tuesday,1,0,0,11,March,2023
3/15/23,20230315,Wednesday,1,0,0,11,March,2023
3/16/23,20230316,Thursday,1,0,0,11,March,2023
3/17/23,20230317,Friday,1,0,0,11,March,2023
3/18/23,20230318,Saturday,0,1,0,11,March,2023
3/19/23,20230319,Sunday,0,1,0,12,March,2023
3/20/23,20230320,Monday,1,0,0,12,March,2023
3/21/23,20230321,Tuesday,1,0,0,12,March,2023
3/22/23,20230322,Wednesday,1,0,0,12,March,2023
3/23/23,20230323,Thursday,1,0,0,12,March,2023
3/24/23,20230324,Friday,1,0,0,12,March,2023
3/25/23,20230325,Saturday,0,1,0,12,March,2023
3/26/23,20230326,Sunday,0,1,0,13,March,2023
3/27/23,20230327,Monday,1,0,0,13,March,2023
3/28/23,20230328,Tuesday,1,0,0,13,March,2023
3/29/23,20230329,Wednesday,1,0,0,13,March,2023
3/30/23,20230330,Thursday,1,0,0,13,March,2023
3/31/23,20230331,Friday,1,0,0,13,March,2023
4/1/23,20230401,Saturday,0,1,0,13,April,2023
4/2/23,20230402,Sunday,0,1,0,14,April,2023
4/3/23,20230403,Monday,1,0,0,14,April,2023
4/4/23,20230404,Tuesday,1,0,0,14,April,2023
4/5/23,20230405,Wednesday,1,0,0,14,April,2023
4/6/23,20230406,Thursday,1,0,0,14,April,2023
4/7/23,20230407,Friday,1,0,0,14,April,2023
4/8/23,20230408,Saturday,0,1,0,14,April,2023
4/9/23,20230409,Sunday,0,1,0,15,April,2023
4/10/23,20230410,Monday,1,0,0,15,April,2023
4/11/23,20230411,Tuesday,1,0,0,15,April,2023
4/12/23,20230412,Wednesday,1,0,0,15,April,2023
4/13/23,20230413,Thursday,1,0,0,15,April,2023
4/14/23,20230414,Friday,1,0,0,15,April,2023
4/15/23,20230415,Saturday,0,1,0,15,April,2023
4/16/23,20230416,Sunday,0,1,0,16,April,2023
4/17/23,20230417,Monday,1,0,0,16,April,2023
4/18/23,20230418,Tuesday,1,0,0,16,April,2023
4/19/23,20230419,Wednesday,1,0,0,16,April,2023
4/20/23,20230420,Thursday,1,0,0,16,April,2023
4/21/23,20230421,Friday,1,0,0,16,April,2023
4/22/23,20230422,Saturday,0,1,0,16,April,2023
4/23/23,20230423,Sunday,0,1,0,17,April,2023
4/24/23,20230424,Monday,1,0,0,17,April,2023
4/25/23,20230425,Tuesday,1,0,0,17,April,2023
4/26/23,20230426,Wednesday,1,0,0,17,April,2023
4/27/23,20230427,Thursday,1,0,0,17,April,2023
4/28/23,20230428,Friday,1,0,0,17,April,2023
4/29/23,20230429,Saturday,0,1,0,17,April,2023
4/30/23,20230430,Sunday,0,1,0,18,April,2023
5/1/23,20230501,Monday,1,0,0,18,May,2023
5/2/23,20230502,Tuesday,1,0,0,18,May,2023
5/3/23,20230503,Wednesday,1,0,0,18,May,2023
5/4/23,20230504,Thursday,1,0,0,18,May,2023
5/5/23,20230505,Friday,1,0,0,18,May,2023
5/6/23,20230506,Saturday,0,1,0,18,May,2023
5/7/23,20230507,Sunday,0,1,0,19,May,2023
5/8/23,20230508,Monday,1,0,0,19,May,2023
5/9/23,20230509,Tuesday,1,0,0,19,May,2023
5/10/23,20230510,Wednesday,1,0,0,19,May,2023
