fare_id,origin_id,destination_id,Price,currency_type,origin_station,destination_station
1,SSAN,SSAN,6.4,USD,South San Francisco,South San Francisco
2,SSAN,SBRN,3.6,USD,South San Francisco,San Bruno
3,SSAN,SFIA,8.55,USD,South San Francisco,San Francisco International Airport
4,SSAN,MLBR,3.6,USD,South San Francisco,Millbrae
5,SSAN,WDUB,7.35,USD,South San Francisco,West Dublin/Pleasanton
6,SSAN,RICH,5.9,USD,South San Francisco,Richmond
7,SSAN,DELN,5.7,USD,South San Francisco,Del Norte
8,SSAN,PLZA,5.5,USD,South San Francisco,El Cerrito Plaza
9,SSAN,NBRK,5.3,USD,South San Francisco,North Berkeley
10,SSAN,DBRK,5.25,USD,South San Francisco,Downtown Berkeley
11,SSAN,ASHB,5.15,USD,South San Francisco,Ashby
12,SSAN,MCAR,5,USD,South San Francisco,MacArthur
13,SSAN,19TH,4.9,USD,South San Francisco,19th Street Oakland
14,SSAN,12TH,4.9,USD,South San Francisco,12th Street Oakland
15,SSAN,LAKE,4.9,USD,South San Francisco,Lake Merritt
16,SSAN,FTVL,5.2,USD,South San Francisco,Fruitvale
17,SSAN,COLS,5.4,USD,South San Francisco,Coliseum
18,SSAN,SANL,5.75,USD,South San Francisco,San Leandro
19,SSAN,BAYF,6,USD,South San Francisco,Bay Fair
20,SSAN,HAYW,6.3,USD,South San Francisco,Hayward
21,SSAN,SHAY,6.65,USD,South San Francisco,South Hayward
22,SSAN,UCTY,7.2,USD,South San Francisco,Union City
23,SSAN,FRMT,7.55,USD,South San Francisco,Fremont
24,SSAN,CAST,6.3,USD,South San Francisco,Castro Valley
25,SSAN,DUBL,7.55,USD,South San Francisco,Dublin/Pleasanton
26,SSAN,PITT,8,USD,South San Francisco,Pittsburg/Bay Point
27,SSAN,NCON,7.45,USD,South San Francisco,North Concord/Martinez
28,SSAN,COLM,3.6,USD,South San Francisco,Colma
29,SSAN,CONC,7.2,USD,South San Francisco,Concord
30,SSAN,PHIL,6.75,USD,South San Francisco,Pleasant Hill
31,SSAN,WCRK,6.6,USD,South San Francisco,Walnut Creek
32,SSAN,LAFY,6.2,USD,South San Francisco,Lafayette
33,SSAN,ORIN,5.75,USD,South San Francisco,Orinda
34,SSAN,ROCK,5.15,USD,South San Francisco,Rockridge
35,SSAN,WOAK,4.8,USD,South San Francisco,West Oakland
36,SSAN,EMBR,4.35,USD,South San Francisco,Embarcadero
37,SSAN,MONT,4.35,USD,South San Francisco,Montgomery Street
38,SSAN,POWL,4.35,USD,South San Francisco,Powell Street
39,SSAN,CIVC,4.35,USD,South San Francisco,Civic Center
40,SSAN,16TH,4.15,USD,South San Francisco,16th Street Mission
41,SSAN,24TH,4.05,USD,South San Francisco,24th Street Mission
42,SSAN,GLEN,3.8,USD,South San Francisco,Glen Park
43,SSAN,BALB,3.6,USD,South San Francisco,Balboa Park
44,SSAN,DALY,3.6,USD,South San Francisco,Daly City
45,SSAN,OAKL,12.1,USD,South San Francisco,Oakland City Center/12th St
46,SSAN,WARM,8.05,USD,South San Francisco,Warm Springs/South Fremont
47,SSAN,MLPT,8.85,USD,South San Francisco,Milpitas
48,SSAN,BERY,9.1,USD,South San Francisco,Berryessa/North San Jose
49,SSAN,PCTR,8.2,USD,South San Francisco,Pittsburg Center
50,SSAN,ANTC,8.9,USD,South San Francisco,Antioch
51,SBRN,SSAN,3.6,USD,San Bruno,South San Francisco
52,SBRN,SBRN,6.4,USD,San Bruno,San Bruno
53,SBRN,SFIA,8.55,USD,San Bruno,San Francisco International Airport
54,SBRN,MLBR,3.6,USD,San Bruno,Millbrae
55,SBRN,WDUB,7.65,USD,San Bruno,West Dublin/Pleasanton
