fare_id,rider_category_id,price
1,5,3.2
1,2,2.4
1,16,5.1
2,5,1.8
2,2,1.35
2,16,2.85
3,5,4.25
3,2,3.2
3,16,6.8
4,5,1.8
4,2,1.35
4,16,2.85
5,5,3.65
5,2,2.75
5,16,5.85
6,5,2.95
6,2,2.2
6,16,4.7
7,5,2.85
7,2,2.1
7,16,4.55
8,5,2.75
8,2,2.05
8,16,4.4
9,5,2.65
9,2,1.95
9,16,4.2
10,5,2.6
10,2,1.95
10,16,4.2
11,5,2.55
11,2,1.9
11,16,4.1
12,5,2.5
12,2,1.85
12,16,4
13,5,2.45
13,2,1.8
13,16,3.9
14,5,2.45
14,2,1.8
14,16,3.9
15,5,2.45
15,2,1.8
15,16,3.9
16,5,2.6
16,2,1.95
16,16,4.15
17,5,2.7
17,2,2
17,16,4.3
18,5,2.85
18,2,2.15
18,16,4.6
19,5,3
19,2,2.25
19,16,4.8
20,5,3.15
20,2,2.35
20,16,5
21,5,3.3
21,2,2.45
21,16,5.3
22,5,3.6
22,2,2.7
22,16,5.75
23,5,3.75
23,2,2.8
23,16,6
24,5,3.15
24,2,2.35
24,16,5
25,5,3.75
25,2,2.8
25,16,6
26,5,4
26,2,3
26,16,6.4
27,5,3.7
27,2,2.75
27,16,5.95
28,5,1.8
28,2,1.35
28,16,2.85
29,5,3.6
29,2,2.7
29,16,5.75
30,5,3.35
30,2,2.5
30,16,5.4
31,5,3.3
31,2,2.45
31,16,5.25
32,5,3.1
32,2,2.3
32,16,4.95
33,5,2.85
33,2,2.15
33,16,4.6
34,5,2.55
34,2,1.9
34,16,4.1
35,5,2.4
35,2,1.8
35,16,3.8
36,5,2.15
36,2,1.6
36,16,3.45
37,5,2.15
37,2,1.6
37,16,3.45
38,5,2.15
38,2,1.6
38,16,3.45
39,5,2.15
39,2,1.6
39,16,3.45
40,5,2.05
40,2,1.55
40,16,3.3
41,5,2
41,2,1.5
41,16,3.2
42,5,1.9
42,2,1.4
42,16,3
43,5,1.8
43,2,1.35
43,16,2.85
44,5,1.8
44,2,1.35
44,16,2.85
45,5,6.05
45,2,4.5
45,16,9.65
