route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_sort_order,ext_route_type,real_time_enabled,category,running_way,subcategory,agency_id
BlueS,Blue Line (Bayp-Capt),Baypointe - Capitol,Temporary Blue Line,0,https://www.vta.org/alerts,4cb4e7,1,110,1,4,1,402,VTA
Blue,Blue Line,Baypointe - Santa Teresa,,0,https://www.vta.org/go/routes/blue-line,4cb4e7,1,900,1,3,1,301,VTA
851,BusBridge Caltrain (MPK-SCL)),Menlo Park - Santa Clara Caltrain Bus Bridge,Temporary Caltrain Bus Bridge,3,https://www.caltrain.com/,d60e51,1,714,0,4,5,402,VTA
BlueN,Blue Line (Blos-Trsa),Blossom Hill - Santa Teresa,Temporary Blue Line,0,https://www.vta.org/alerts,4cb4e7,2,110,1,4,1,402,VTA
Green,Green Line,Old Ironsides - Winchester,,0,https://www.vta.org/go/routes/green-line,73c92d,2,900,1,3,1,301,VTA
BBBLS,BusBridge (Capt-Blos),Capitol - Blossom Hill Bus Bridge,Temporary VTA Bus Bridge,3,https://www.vta.org/alerts,e4002b,3,110,1,4,5,402,VTA
Ornge,Orange Line,Mountain View - Alum Rock,,0,https://www.vta.org/go/routes/orange-line,ff8300,3,900,1,3,1,301,VTA
500,Rapid 500,San Jose Diridon - Berryessa BART,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-500,e4002b,4,702,1,3,5,301,VTA
522,Rapid 522,Palo Alto Transit Center - Eastridge,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-522,e4002b,5,702,1,3,3,301,VTA
523,Rapid 523,San Jose State -  Lockheed Martin via De Anza College,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-523,e4002b,6,702,1,3,4,301,VTA
568,Rapid 568,Gilroy Transit Center - San Jose Diridon,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-568,e4002b,7,702,1,3,5,301,VTA
20,20,Milpitas BART - Sunnyvale Transit Center,,3,https://www.vta.org/go/routes/20,29588c,20,704,1,4,5,401,VTA
21,21,Stanford Shopping Center - Santa Clara Transit Center,,3,https://www.vta.org/go/routes/21,29588c,21,704,1,4,5,401,VTA
22,22,Palo Alto Transit Center - Eastridge,,3,https://www.vta.org/go/routes/22,e4002b,22,702,1,3,5,301,VTA
23,23,De Anza College - Alum Rock Station via Stevens Creek,,3,https://www.vta.org/go/routes/23,e4002b,23,702,1,3,5,301,VTA
25,25,De Anza College - Alum Rock Station via Valley Med,,3,https://www.vta.org/go/routes/25,e4002b,25,702,1,3,5,301,VTA
26,26,West Valley College - Eastridge,,3,https://www.vta.org/go/routes/26,e4002b,26,702,1,3,5,301,VTA
27,27,Winchester Station - Kaiser San Jose via Downtown Los Gatos,,3,https://www.vta.org/go/routes/27,29588c,27,704,1,4,5,401,VTA
31,31,Evergreen Valley College - Eastridge,,3,https://www.vta.org/go/routes/31,29588c,31,704,1,4,5,401,VTA
37,37,West Valley College - Capitol Station,,3,https://www.vta.org/go/routes/37,29588c,37,704,1,4,5,401,VTA
39,39,Eastridge - The Villages,,3,https://www.vta.org/go/routes/39,29588c,39,704,1,4,5,401,VTA
40,40,Foothill College - Mountain View Transit Center via North Bayshore,,3,https://www.vta.org/go/routes/40,29588c,40,704,1,4,5,401,VTA
42,42,Evergreen Valley College - Santa Teresa Station,,3,https://www.vta.org/go/routes/42,29588c,42,704,1,4,5,401,VTA
44,44,Milpitas BART - McCarthy Ranch via Tasman & Alder,,3,https://www.vta.org/go/routes/44,29588c,44,704,1,4,5,401,VTA
47,47,Milpitas BART - McCarthy Ranch via Park Victoria,,3,https://www.vta.org/go/routes/47,29588c,47,704,1,4,5,401,VTA
51,51,Moffett Field/Ames Center - West Valley College,,3,https://www.vta.org/go/routes/51,29588c,50,704,1,4,5,401,VTA
52,52,Foothill College - Mountain View Transit Center via El Monte,,3,https://www.vta.org/go/routes/52,29588c,52,704,1,4,5,401,VTA
53,53,Sunnyvale Transit Center - Santa Clara Transit Center,,3,https://www.vta.org/go/routes/53,29588c,53,704,1,4,5,401,VTA
55,55,Old Ironsides Station - De Anza College,,3,https://www.vta.org/go/routes/55,29588c,55,704,1,4,5,401,VTA
56,56,Lockheed Martin - Tamien Station,,3,https://www.vta.org/go/routes/56,29588c,56,704,1,4,5,401,VTA
57,57,Old Ironsides Station - West Valley College,,3,https://www.vta.org/go/routes/57,e4002b,57,702,1,3,5,301,VTA
59,59,Stevens Creek & Saratoga - Baypointe Station via Alviso,,3,https://www.vta.org/go/routes/59,29588c,59,704,1,4,5,401,VTA
60,60,Milpitas BART - Winchester Station via SJC Airport,,3,https://www.vta.org/go/routes/60,e4002b,60,702,1,3,5,301,VTA
61,61,Sierra & Piedmont - Good Samaritan Hospital,,3,https://www.vta.org/go/routes/61,e4002b,61,702,1,3,5,301,VTA
64A,64A,Ohlone-Chynoweth Station - McKee & White,,3,https://www.vta.org/go/routes/64A,e4002b,64,702,1,3,5,301,VTA
64B,64B,Almaden & Camden - Mckee & White,,3,https://www.vta.org/go/routes/64B,e4002b,65,702,1,3,5,301,VTA
66,66,North Milpitas - Kaiser San Jose,,3,https://www.vta.org/go/routes/66,e4002b,66,702,1,3,5,301,VTA
68,68,San Jose Diridon - Gilroy Transit Center,,3,https://www.vta.org/go/routes/68,e4002b,68,702,1,3,5,301,VTA
70,70,Milpitas BART - Capitol Station via Jackson,,3,https://www.vta.org/go/routes/70,e4002b,70,702,1,3,5,301,VTA
71,71,Milpitas BART - Eastridge,,3,https://www.vta.org/go/routes/71,29588c,71,704,1,4,5,401,VTA
72,72,Downtown San Jose - Senter & Monterey via McLaughlin,,3,https://www.vta.org/go/routes/72,e4002b,72,702,1,3,5,301,VTA
73,73,Downtown San Jose - Senter & Monterey via Senter,,3,https://www.vta.org/go/routes/73,e4002b,73,702,1,3,5,301,VTA
77,77,Milpitas BART - Eastridge via King,,3,https://www.vta.org/go/routes/77,e4002b,77,702,1,3,5,301,VTA
83,83,Ohlone-Chynoweth Station - Almaden & McKean,,3,https://www.vta.org/go/routes/83,29588c,83,704,1,4,5,401,VTA
84,84,Gilroy Transit Center - St. Louise Hospital via Gilroy Outlets,,3,https://www.vta.org/go/routes/84,29588c,84,704,1,4,5,401,VTA
85,85,Gilroy Transit Center - St. Louise Hospital via West Gilroy,,3,https://www.vta.org/go/routes/85,29588c,85,704,1,4,5,401,VTA
86,86,Gavilan College - Gilroy Transit Center,,3,https://www.vta.org/go/routes/86,29588c,86,704,1,4,5,401,VTA
87,87,Morgan Hill Civic Center - Burnett Ave,,3,https://www.vta.org/go/routes/87,29588c,87,704,1,4,5,402,VTA
89,89,California Avenue Caltrain - Palo Alto VA Hospital,,3,https://www.vta.org/go/routes/89,29588c,89,704,1,4,5,401,VTA
101,Express 101,Camden & Hwy 85 - Stanford Research Park,,3,https://www.vta.org/go/routes/101,00b140,101,701,1,3,2,302,VTA
102,Express 102,South San Jose - Stanford Research Park,,3,https://www.vta.org/go/routes/102,00b140,102,701,1,3,2,302,VTA
103,Express 103,Eastridge - Stanford Research Park,,3,https://www.vta.org/go/routes/103,00b140,103,701,1,3,2,302,VTA
104,Express 104,Milpitas BART - Stanford Research Park,,3,https://www.vta.org/go/routes/104,00b140,104,701,1,3,2,302,VTA
121,Express 121,Gilroy/Morgan Hill - Lockheed Martin,,3,https://www.vta.org/go/routes/121,00b140,121,701,1,3,2,302,VTA
200,200,Milpitas BART - Mountain View,Late-Night Orange Line Replacement Bus Shuttle,3,https://www.vta.org/go/routes/200,ff8300,200,711,1,3,5,303,VTA
SCVMC,SCVMC,Santa Clara Valley Medical Center - San Jose Diridon,,3,https://www.vta.org/go/routes/SCVMC,29588c,201,711,1,5,5,501,VTA
246,School 246,Milpitas High School - Yellowstone & Butano,,3,https://www.vta.org/school-trippers,29588c,246,713,1,4,5,402,VTA
247,School 247,Milpitas High School - Landess & Park Victoria,,3,https://www.vta.org/school-trippers,29588c,247,713,1,4,5,402,VTA
256,School 256,Willow Glen High School - 1st & Keyes,,3,https://www.vta.org/school-trippers,29588c,256,713,1,4,5,402,VTA
270,School 270,Independence High School - Landess & Park Victoria,,3,https://www.vta.org/school-trippers,29588c,270,713,1,4,5,402,VTA
287,School 287,Live Oak High School - Monterey & San Martin,,3,https://www.vta.org/school-trippers,29588c,287,713,1,4,5,402,VTA
288,School 288,Gunn High School - Middlefield & Colorado via Charleston,,3,https://www.vta.org/school-trippers,29588c,288,713,1,4,5,402,VTA
288L,School 288L,Gunn High School - Louis & Fielding,,3,https://www.vta.org/school-trippers,29588c,289,713,1,4,5,402,VTA
288M,School 288M,Gunn High School - Middlefield & Colorado via Waverley,,3,https://www.vta.org/school-trippers,29588c,290,713,1,4,5,402,VTA
822,ACE Gray,South Sunnyvale,,3,https://acerail.com/silicon-valley-business-shuttles/,939598,822,711,0,5,5,501,VTA
823,ACE Green,North Santa Clara,,3,https://acerail.com/silicon-valley-business-shuttles/,0e9972,823,711,0,5,5,501,VTA
824,ACE Orange,Mountain View,,3,https://acerail.com/silicon-valley-business-shuttles/,f69238,824,711,0,5,5,501,VTA
825,ACE Purple,West Milpitas,,3,https://acerail.com/silicon-valley-business-shuttles/,263996,825,711,0,5,5,501,VTA
826,ACE Red,North Sunnyvale,,3,https://acerail.com/silicon-valley-business-shuttles/,d60e51,826,711,0,5,5,501,VTA
827,ACE Yellow,South Santa Clara,,3,https://acerail.com/silicon-valley-business-shuttles/,ffe601,827,711,0,5,5,501,VTA
828,ACE Brown,North San Jose,,3,https://acerail.com/silicon-valley-business-shuttles/,6d4739,828,711,0,5,5,501,VTA
831,ACE Violet,West Milpitas,,3,https://acerail.com/silicon-valley-business-shuttles/,bbb7da,831,711,0,5,5,501,VTA
911,Blue Line Special,Special Service,,0,https://www.vta.org/go/events/levis-stadium,4cb4e7,911,111,1,4,1,402,VTA
912,Event Special,Special Service,,0,https://www.vta.org/go/events/levis-stadium,ff8300,912,111,1,4,1,402,VTA
913,Orange Line Special,Special Service,,0,https://www.vta.org/go/events/levis-stadium,ff8300,913,111,1,4,1,402,VTA
914,Green Line Special,Special Service,,0,https://www.vta.org/go/events/levis-stadium,73c92d,914,111,1,4,1,402,VTA
