stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,sign_dest
236,60236,10th & Alexander,Eastbound,37.000817,-121.563526,0,,1,,
5522,65522,10th & Alexander,Westbound,37.001222,-121.562964,0,,1,,
3350,63350,10th & Church,Eastbound,36.999673,-121.56765,0,,1,,
4220,64220,10TH & EMPIRE,,37.349109,-121.887358,0,,0,,
3349,63349,10th & Hanna,Eastbound,36.998924,-121.5702,0,,1,,
3477,63477,10th & Hanna,Westbound,36.999097,-121.570233,0,,1,,
4216,64216,10th & Hedding,Southbound,37.357441,-121.893624,0,,1,,
5973,65973,10th & Julian,Southbound,37.344848,-121.884197,0,,0,,
3803,63803,10th & Martha,Southbound,37.326973,-121.870912,0,,1,,
3476,63476,10th & Monterey,Westbound,37.000291,-121.566142,0,,1,,
3802,63802,10th & Reed,Southbound,37.331439,-121.874191,0,,1,,
3801,63801,10th & San Salvador,Southbound,37.334285,-121.876362,0,,1,,
5970,65970,10th & Santa Clara,Southbound,37.340972,-121.88137,0,,0,,
4218,64218,10th & Taylor,,37.354229,-121.889239,0,,1,,
4995,64995,10th & Taylor,Southbound,37.353304,-121.890562,0,,0,,
5957,65957,11TH & EMPIRE,,37.350065,-121.88656,0,,0,,
5974,65974,11th & Julian,Northbound,37.345831,-121.883313,0,,0,,
3798,63798,11th & Margaret,Northbound,37.330543,-121.87196,0,,1,,
3797,63797,11th & Martha,Northbound,37.327437,-121.869638,0,,1,,
3734,63734,11th & San Antonio,Northbound,37.338145,-121.877629,0,,1,,
5969,65969,11th & Santa Clara,Northbound,37.341609,-121.880197,0,,0,,
5892,65892,11th & Taylor,Northbound,37.354434,-121.889687,0,,0,,
3799,63799,11th & William,,37.333834,-121.874406,0,,1,,
3206,63206,1st & Alma,Northbound,37.316843,-121.874156,0,,1,,
2589,62589,1st & Alviso Park,Northbound,37.424278,-121.968958,0,,2,,
611,60611,1st & Bassett,Northbound,37.341582,-121.894487,0,,1,,
5953,65953,1st & Brokaw,Southbound,37.372696,-121.918093,0,,0,,
4485,64485,1st & C,Eastbound,37.417768,-122.026916,0,,1,,
3273,63273,1st & Floyd,Southbound,37.31723,-121.874961,0,,1,,
3271,63271,1st & Goodyear,Southbound,37.320175,-121.877894,0,,1,,
2590,62590,1st & Grand,Westbound,37.425097,-121.972051,0,,1,,
5050,65050,1st & Headquarters,Northbound,37.415348,-121.954031,0,,1,,
2586,62586,1st & Holger,Northbound,37.416798,-121.956395,0,,2,,
3207,63207,1st & Keyes,Northbound,37.319838,-121.877308,0,,1,,
2600,62600,1st & Lamplighter,Southbound,37.415935,-121.955573,0,,1,,
5908,65908,1st & Liberty,Westbound,37.425924,-121.974391,0,,0,,
3208,63208,1st & Martha,Northbound,37.322932,-121.880381,0,,1,,
5029,65029,1st & Mathilda,Westbound,37.417844,-122.026672,0,,2,,
14,60014,1st & Metro,Southbound,37.36977,-121.915884,0,,1,,
5867,65867,1st & Metro,Northbound,37.368946,-121.914795,0,,0,,
21,60021,1st & Mission,Southbound,37.351479,-121.902223,0,,1,,
5706,65706,1st & Mission,Northbound,37.351545,-121.901862,0,,1,,
1984,61984,1st & Montague,Northbound,37.398818,-121.936971,0,,1,,
1368,61368,1st & Nicholson,Northbound,37.411034,-121.946972,0,,2,,
2603,62603,1st & Nicholson,Southbound,37.410248,-121.946261,0,,0,,
2587,62587,1st & Nortech,Northbound,37.422609,-121.964536,0,,2,,
2599,62599,1st & Nortech,Southbound,37.422419,-121.96467,0,,1,,
3269,63269,1st & Oak,Southbound,37.322392,-121.880095,0,,1,,
1983,61983,1st & Orchard,Northbound,37.395412,-121.934477,0,,0,,
1992,61992,1st & Orchard,Southbound,37.394407,-121.934232,0,,0,,
5459,65459,1st & Paseo de San Antonio,Northbound,37.332666,-121.887921,0,,0,,
5460,65460,1st & Paseo de San Antonio,Northbound,37.332375,-121.887741,0,,1,,
608,60608,1st & Paseo de San Antonio,Northbound,37.332972,-121.888183,0,,1,,
1982,61982,1st & Plumeria,Northbound,37.39164,-121.931737,0,,0,,
3211,63211,1st & Reed,Northbound,37.327472,-121.884005,0,,1,,
5642,65642,1st & Rio Robles,Southbound,37.405735,-121.942474,0,,1,,
5650,65650,1st & Rio Robles,Northbound,37.405924,-121.942197,0,,0,,
5641,65641,1st & River Oaks,Northbound,37.402428,-121.93959,0,,1,,
2602,62602,1st & Rose Orchard,Southbound,37.412043,-121.9492,0,,0,,
2585,62585,1st & Rose Orchard (Assembly),Northbound,37.413883,-121.951629,0,,2,,
2584,62584,1st & Rose Orchard (Infiniti),Northbound,37.412889,-121.950001,0,,2,,
5463,65463,1st & Saint John,Northbound,37.338036,-121.89195,0,,0,,
