route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
5,1371190,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371190_shp,1,1
6,1372025,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1372025_shp,1,1
5,1371192,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371190_shp,1,1
6,1371134,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1371134_shp,1,1
5,1371191,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
6,1371132,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1372025_shp,1,1
5,1371196,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371190_shp,1,1
6,1371131,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1372025_shp,1,1
5,1371189,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
6,1371135,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1371134_shp,1,1
5,1371195,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
6,1371136,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1371134_shp,1,1
5,1371194,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
6,1371130,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1372025_shp,1,1
5,1371193,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
6,1371129,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1372025_shp,1,1
5,1371138,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
6,1371076,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1372025_shp,1,1
5,1371165,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
6,1371102,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1372025_shp,1,1
5,1371139,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
6,1371077,2023_02_13-DX-MVS-Weekday-01,SF / OAK Airport / Berryessa,0,1372025_shp,1,1
5,1371166,2023_02_13-DX-MVS-Weekday-01,OAK Airport / SF / Daly City,1,1371191_shp,1,1
